RICS,Term,Prices/Upfronts,Name,Currency,Rank,Doc Clause,Cal final,recovery rate,TRBC Economic Sector Name,Region
GMAC1YUSAX=R,1Y,22.88,ALLY FINANCIAL,USD,SNRFOR,Ex-Restruct14,BB,(40-49),Financials,United States of America
AXP1YUSAX=R,1Y,7.32,AMERICAN EXPRESS,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Financials,United States of America
BAC1YUSAX=R,1Y,20.14,BOFAML,USD,SNRFOR,Ex-Restruct14,A,(40-49),Financials,United States of America
BAC1YUSSX=R,1Y,28.2,BOFAML,USD,SUBLT2,Ex-Restruct14,A,(0-29),Financials,United States of America
COFC1YUSAX=R,1Y,6.39,CAPITAL ONE BANK,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Financials,United States of America
COFC1YUSSX=R,1Y,9.59,CAPITAL ONE BANK,USD,SUBLT2,Ex-Restruct14,BBB,(0-29),Financials,United States of America
CIT1YUSAX=R,1Y,17.19,CIT GROUP,USD,SNRFOR,Ex-Restruct14,BB,(40-49),Financials,United States of America
C1YUSAX=R,1Y,20.76,CITIGROUP,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Financials,United States of America
C1YUSSX=R,1Y,31.14,CITIGROUP,USD,SUBLT2,Ex-Restruct14,BBB,(0-29),Financials,United States of America
GS1YUSAX=R,1Y,20.76,GOLDMAN SACHS,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Financials,United States of America
GS1YUSSX=R,1Y,31.15,GOLDMAN SACHS,USD,SUBLT2,Ex-Restruct14,BBB,(0-29),Financials,United States of America
JPM1YUSAX=R,1Y,17.5,JP MORGAN,USD,SNRFOR,Ex-Restruct14,A,(40-49),Financials,United States of America
JPM1YUSSX=R,1Y,24.5,JP MORGAN,USD,SUBLT2,Ex-Restruct14,A,(0-29),Financials,United States of America
MS1YUSAX=R,1Y,20.14,MORGAN STANLEY,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Financials,United States of America
MS1YUSSX=R,1Y,30.21,MORGAN STANLEY,USD,SUBLT2,Ex-Restruct14,BBB,(0-29),Financials,United States of America
PNC1YUSAX=R,1Y,13.9,PNC FINL SVC,USD,SNRFOR,Ex-Restruct14,A,(40-49),Financials,United States of America
PNC1YUSSX=R,1Y,41.42,PNC FINL SVC,USD,SUBLT2,Ex-Restruct14,A,(0-29),Financials,United States of America
USB1YUSAX=R,1Y,2.68,US BANCORP,USD,SNRFOR,Ex-Restruct14,A,(40-49),Financials,United States of America
