Rend Ask al vencimiento,Rend Bid al vencimiento,Nombre,Ticker,Cupón,Vencimiento,Tipo de vencimiento,País/región,Divisa,Identificador,Ráting Composite Bloomberg,Ask,Fuente
8.809605149,1/8/1900,Mexican Bonos,MBONO,7.5,5/26/2033,AT MATURITY,MX,MXN,ZN7935812,BBB,91.409,BGN
8.822815332,8.852957411,Mexican Bonos,MBONO,7.75,5/29/2031,AT MATURITY,MX,MXN,EI8047355,BBB,93.943,BGN
8.889836217,8.915059919,Mexican Bonos,MBONO,7.75,#N/A,AT MATURITY,MX,MXN,EJ1291206,BBB,89.497,BGN
8.770625978,8.8114267,Mexican Bonos,MBONO,8,5/24/2035,AT MATURITY,MX,MXN,ZJ8065048,BBB,94.334,BVAL
9.585235,9.627325,Mexican Bonos,MBONO,5.75,3/5/2026,AT MATURITY,MX,MXN,QJ1649335,BBB,91.206,BGN
9.214222443,9.246686102,Mexican Bonos,MBONO,7.5,6/3/2027,AT MATURITY,MX,MXN,EG1116375,BBB,94.46,BGN
8.878907428,8.898144425,Mexican Bonos,MBONO,8,7/31/2053,AT MATURITY,MX,MXN,BX4963407,BBB,90.788,BGN
8.836013081,8.864260346,Mexican Bonos,MBONO,8.5,5/31/2029,AT MATURITY,MX,MXN,EH6834517,BBB,98.456,BGN
10.086723,10.120304,Mexican Bonos,MBONO,5,3/6/2025,AT MATURITY,MX,MXN,BS4948482,BBB,92.491,BGN
9.56621235,9.596768842,Mexican Bonos,MBONO,7,9/3/2026,AT MATURITY,MX,MXN,ZK9254374,BBB,93.141,BGN
9.308908538,9.359617285,Mexican Bonos,MBONO,5.5,3/4/2027,AT MATURITY,MX,MXN,BR4592233,BBB,88.406,BGN
10.51779183,10.58965216,Mexican Bonos,MBONO,10,12/5/2024,AT MATURITY,MX,MXN,ED7791103,BBB,99.324,BGN
8.864443188,8.894006176,Mexican Bonos,MBONO,8.5,11/18/2038,AT MATURITY,MX,MXN,EH6944449,BBB,96.939,BGN
8.840746808,8.871723958,Mexican Bonos,MBONO,8,7/11/2047,AT MATURITY,MX,MXN,AM7523740,BBB,91.602,BGN
8.78596221,8.825525781,Mexican Bonos,MBONO,7.75,11/23/2034,AT MATURITY,MX,MXN,EK1693424,BBB,92.582,BGN
10.870333,10.953044,Mexican Bonos,MBONO,8,9/5/2024,AT MATURITY,MX,MXN,AX6352725,BBB,97.003,BGN
11.44469301,11.51873853,Mexican Bonos,MBONO,8,12/7/2023,AT MATURITY,MX,MXN,ED2028832,BBB,98.757,BGN
